RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$43,006,362"
2,"Chris Paul, PG",Phoenix Suns,"$41,358,814"
3,"Russell Westbrook, PG",Washington Wizards,"$41,358,814"
4,"James Harden, SG",Brooklyn Nets,"$41,254,920"
5,"John Wall, PG",Houston Rockets,"$41,254,920"
6,"Kevin Durant, PF",Brooklyn Nets,"$40,108,950"
7,"LeBron James, SF",Los Angeles Lakers,"$39,219,565"
8,"Paul George, SG",LA Clippers,"$35,450,412"
9,"Klay Thompson, SG",Golden State Warriors,"$35,361,360"
10,"Mike Conley, PG",Utah Jazz,"$34,502,130"
11,"Kemba Walker, PG",Boston Celtics,"$34,379,100"
12,"Jimmy Butler, SF",Miami Heat,"$34,379,100"
13,"Kawhi Leonard, SF",LA Clippers,"$34,379,100"
14,"Tobias Harris, PF",Philadelphia 76ers,"$34,358,850"
15,"Khris Middleton, SF",Milwaukee Bucks,"$33,051,724"
16,"Anthony Davis, PF",Los Angeles Lakers,"$32,742,000"
17,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
18,"Damian Lillard, PG",Portland Trail Blazers,"$31,626,953"
19,"Kevin Love, PF",Cleveland Cavaliers,"$31,258,256"
20,"Pascal Siakam, PF",Toronto Raptors,"$30,559,200"
21,"Ben Simmons, PG",Philadelphia 76ers,"$30,559,200"
22,"Kyle Lowry, PG",Toronto Raptors,"$30,500,000"
23,"Steven Adams, C",New Orleans Pelicans,"$29,592,696"
24,"Joel Embiid, C",Philadelphia 76ers,"$29,542,010"
25,"Andrew Wiggins, SF",Golden State Warriors,"$29,542,010"
26,"Nikola Jokic, C",Denver Nuggets,"$29,542,010"
27,"Devin Booker, SG",Phoenix Suns,"$29,467,800"
28,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$29,467,800"
29,"Kristaps Porzingis, C",Dallas Mavericks,"$29,467,800"
30,"CJ McCollum, SG",Portland Trail Blazers,"$29,354,152"
31,"Bradley Beal, SG",Washington Wizards,"$28,751,775"
32,"D'Angelo Russell, PG",Minnesota Timberwolves,"$28,649,250"
33,"Gordon Hayward, SF",Charlotte Hornets,"$28,500,000"
34,"Otto Porter Jr., SF",Orlando Magic,"$28,489,237"
35,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
36,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$27,528,090"
37,"Rudy Gobert, C",Utah Jazz,"$27,525,281"
38,"Al Horford, C",Oklahoma City Thunder,"$27,500,000"
39,"Jamal Murray, PG",Denver Nuggets,"$27,285,000"
40,"Brandon Ingram, SF",New Orleans Pelicans,"$27,285,000"
41,"Jrue Holiday, PG",Milwaukee Bucks,"$26,231,111"
42,"Nikola Vucevic, C",Chicago Bulls,"$26,000,000"
43,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
44,"Buddy Hield, SG",Sacramento Kings,"$24,701,834"
45,"LaMarcus Aldridge, F",Brooklyn Nets,"$24,000,000"
46,"Jaylen Brown, SG",Boston Celtics,"$23,735,118"
47,"Draymond Green, PF",Golden State Warriors,"$22,246,956"
48,"Harrison Barnes, SF",Sacramento Kings,"$22,215,909"
49,"Fred VanVleet, SG",Toronto Raptors,"$21,250,000"
50,"Victor Oladipo, SG",Miami Heat,"$21,000,000"
51,"Malcolm Brogdon, PG",Indiana Pacers,"$20,700,000"
52,"Domantas Sabonis, PF",Indiana Pacers,"$19,800,000"
53,"Gary Harris, SG",Orlando Magic,"$19,610,714"
54,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
55,"Danilo Gallinari, PF",Atlanta Hawks,"$19,500,000"
56,"Jerami Grant, SF",Detroit Pistons,"$19,050,000"
57,"Tim Hardaway Jr., SF",Dallas Mavericks,"$18,975,000"
58,"Terry Rozier, SG",Charlotte Hornets,"$18,900,000"
59,"Julius Randle, PF",New York Knicks,"$18,900,000"
60,"Allen Crabbe, G",Minnesota Timberwolves,"$18,500,000"
61,"Aaron Gordon, PF",Denver Nuggets,"$18,136,364"
62,"Goran Dragic, PG",Miami Heat,"$18,000,000"
63,"Myles Turner, C",Indiana Pacers,"$18,000,000"
64,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
65,"Bojan Bogdanovic, SF",Utah Jazz,"$17,850,000"
66,"Evan Fournier, SG",Boston Celtics,"$17,150,000"
67,"Ricky Rubio, PG",Minnesota Timberwolves,"$17,000,000"
68,"Eric Bledsoe, SG",New Orleans Pelicans,"$16,875,000"
69,"Eric Gordon, SG",Houston Rockets,"$16,869,276"
70,"Timofey Mozgov, C",Orlando Magic,"$16,720,000"
71,"Caris LeVert, SG",Indiana Pacers,"$16,203,704"
72,"Joe Harris, SF",Brooklyn Nets,"$16,071,429"
73,"James Johnson, PF",New Orleans Pelicans,"$16,047,100"
74,"Dennis Schroder, PG",Los Angeles Lakers,"$16,000,000"
75,"Clint Capela, C",Atlanta Hawks,"$16,000,000"
76,"Cody Zeller, C",Charlotte Hornets,"$15,415,730"
77,"Danny Green, SF",Philadelphia 76ers,"$15,365,853"
78,"Davis Bertans, SF",Washington Wizards,"$15,000,000"
79,"Andre Iguodala, F",Miami Heat,"$15,000,000"
80,"Jonas Valanciunas, C",Memphis Grizzlies,"$15,000,000"
81,"Marcus Morris Sr., SF",LA Clippers,"$14,888,721"
82,"Luke Babbitt, F",Miami Heat,"$14,651,700"
83,"Rudy Gay, SF",San Antonio Spurs,"$14,500,000"
84,"Kelly Oubre Jr., SG",Golden State Warriors,"$14,375,000"
